YtdTrans
0
1
6
5
2
3
4
11
13
8
7
63
24
12
9
68
42
14
10
29
28
33
43
16
15
81
83
30
49
104
80
21
82
26
18
17
92
38
93
230
34
74
121
248
100
313
40
112
56
23
62
22
73
129
45
19
59
27
25
360
99
246
31
238
87
72
119
52
57
20
158
65
41
36
35
168
116
60
37
166
91
32
69
70
138
96
53
180
172
71
48
61
437
147
148
46
58
134
50
86
44
76
39
160
78
113
90
51
84
98
247
200
178
144
108
55
64
47
109
131
171
149
79
89
54
67
186
188
169
697
482
163
140
206
150
157
137
94
174
132
143
301
77
123
75
155
106
120
164
107
66
101
196
210
952
491
117
161
85
111
187
298
115
133
105
130
142
539
135
118
